,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18696.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
1,18696.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2
2,18695.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3
3,18694.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4
4,18692.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5
5,18690.0,4.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13,6
6,18689.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15,7
7,18688.0,5.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17,8
8,18688.0,5.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18,9
9,18686.0,6.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,22,10
10,18683.0,8.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,28,11
11,18681.0,8.0,3.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,33,12
12,18680.0,9.0,2.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,36,13
13,18677.0,9.0,4.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,43,14
14,18673.0,12.0,5.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,48,15
15,18666.0,15.0,9.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,59,16
16,18660.0,15.0,11.0,3.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,76,17
17,18649.0,21.0,15.0,3.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,94,18
18,18636.0,29.0,15.0,4.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,121,19
19,18624.0,32.0,22.0,4.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,144,20
20,18611.0,40.0,23.0,4.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,166,21
21,18596.0,53.0,22.0,4.0,14.0,0.0,11.0,0.0,0.0,0.0,0.0,189,22
22,18583.0,59.0,22.0,6.0,18.0,0.0,12.0,0.0,0.0,0.0,0.0,217,23
23,18549.0,86.0,25.0,7.0,19.0,0.0,14.0,0.0,0.0,0.0,0.0,264,24
24,18532.0,83.0,38.0,9.0,22.0,0.0,16.0,0.0,0.0,0.0,0.0,310,25
25,18503.0,97.0,47.0,10.0,25.0,0.0,18.0,0.0,0.0,0.0,0.0,362,26
26,18466.0,110.0,57.0,14.0,32.0,0.0,21.0,0.0,0.0,0.0,0.0,440,27
27,18420.0,133.0,72.0,16.0,33.0,1.0,25.0,0.0,0.0,0.0,0.0,522,28
28,18366.0,168.0,70.0,19.0,48.0,1.0,27.0,1.0,0.0,0.0,0.0,620,29
29,18307.0,187.0,96.0,22.0,56.0,1.0,30.0,1.0,0.0,0.0,0.0,736,30
30,18239.0,217.0,120.0,26.0,58.0,0.0,38.0,2.0,0.0,0.0,0.0,865,31
31,18149.0,267.0,136.0,34.0,67.0,1.0,44.0,2.0,0.0,0.0,0.0,1026,32
