,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18696.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
1,18695.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2
2,18693.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3
3,18691.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4
4,18688.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5
5,18688.0,6.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15,6
6,18686.0,6.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19,7
7,18683.0,8.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23,8
8,18680.0,10.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27,9
9,18678.0,10.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,32,10
10,18670.0,17.0,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,42,11
11,18667.0,17.0,10.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,49,12
12,18664.0,18.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,56,13
13,18658.0,20.0,12.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,68,14
14,18650.0,25.0,13.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,81,15
15,18638.0,32.0,17.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,100,16
16,18625.0,40.0,18.0,7.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,122,17
17,18610.0,48.0,18.0,12.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,151,18
18,18595.0,52.0,26.0,11.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,181,19
19,18574.0,67.0,25.0,12.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,217,20
