,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18695.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
1,18692.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2
2,18686.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17,3
3,18681.0,12.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4
4,18673.0,18.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32,5
5,18663.0,23.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49,6
6,18645.0,32.0,18.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,78,7
7,18631.0,41.0,21.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,99,8
8,18617.0,44.0,28.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,129,9
9,18594.0,54.0,29.0,9.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,178,10
10,18566.0,67.0,37.0,10.0,16.0,1.0,3.0,0.0,0.0,0.0,0.0,229,11
11,18515.0,98.0,48.0,14.0,18.0,1.0,6.0,0.0,0.0,0.0,0.0,312,12
12,18471.0,119.0,60.0,17.0,26.0,1.0,6.0,0.0,0.0,0.0,0.0,390,13
13,18399.0,163.0,78.0,20.0,30.0,0.0,9.0,1.0,0.0,0.0,0.0,504,14
14,18310.0,217.0,100.0,22.0,36.0,0.0,14.0,1.0,0.0,0.0,0.0,646,15
15,18217.0,270.0,116.0,28.0,50.0,0.0,18.0,1.0,0.0,0.0,0.0,807,16
16,18082.0,343.0,147.0,30.0,69.0,0.0,28.0,1.0,0.0,0.0,0.0,1045,17
17,17911.0,440.0,199.0,34.0,80.0,1.0,34.0,1.0,0.0,0.0,0.0,1319,18
18,17698.0,550.0,262.0,53.0,97.0,0.0,38.0,2.0,0.0,0.0,0.0,1680,19
19,17427.0,677.0,338.0,77.0,132.0,0.0,47.0,2.0,0.0,0.0,0.0,2172,20
20,17053.0,903.0,415.0,95.0,173.0,0.0,57.0,4.0,0.0,0.0,0.0,2779,21
21,16620.0,1151.0,505.0,122.0,226.0,1.0,71.0,4.0,0.0,0.0,0.0,3507,22
22,16118.0,1409.0,637.0,153.0,286.0,2.0,90.0,5.0,0.0,0.0,0.0,4387,23
23,15490.0,1748.0,786.0,211.0,341.0,4.0,114.0,6.0,0.0,0.0,0.0,5472,24
24,14712.0,2130.0,1003.0,272.0,430.0,2.0,143.0,8.0,0.0,0.0,0.0,6856,25
25,13775.0,2616.0,1233.0,339.0,543.0,2.0,183.0,9.0,0.0,0.0,0.0,8507,26
26,12693.0,3119.0,1545.0,419.0,674.0,7.0,234.0,9.0,0.0,0.0,0.0,10491,27
27,11509.0,3580.0,1916.0,528.0,845.0,8.0,304.0,10.0,0.0,0.0,0.0,12823,28
28,10144.0,4152.0,2291.0,667.0,1052.0,8.0,373.0,13.0,0.0,0.0,0.0,15475,29
29,8739.0,4697.0,2649.0,826.0,1267.0,13.0,495.0,14.0,0.0,0.0,0.0,18371,30
30,7347.0,5185.0,2978.0,1015.0,1538.0,11.0,604.0,22.0,0.0,0.0,0.0,21365,31
31,5964.0,5496.0,3430.0,1202.0,1822.0,13.0,749.0,24.0,0.0,0.0,0.0,24592,32
32,4745.0,5578.0,3887.0,1400.0,2112.0,14.0,933.0,31.0,0.0,0.0,0.0,27828,33
33,3624.0,5638.0,4092.0,1660.0,2495.0,11.0,1145.0,35.0,0.0,0.0,0.0,31084,34
34,2685.0,5468.0,4340.0,1932.0,2862.0,19.0,1358.0,36.0,0.0,0.0,0.0,34216,35
35,1926.0,5204.0,4516.0,2134.0,3235.0,20.0,1621.0,44.0,0.0,0.0,0.0,37126,36
36,1351.0,4839.0,4581.0,2372.0,3552.0,28.0,1930.0,47.0,0.0,0.0,0.0,39839,37
37,925.0,4377.0,4586.0,2588.0,3844.0,27.0,2295.0,58.0,0.0,0.0,0.0,42423,38
38,627.0,3850.0,4525.0,2819.0,4140.0,27.0,2646.0,66.0,0.0,0.0,0.0,44800,39
39,440.0,3304.0,4431.0,2973.0,4393.0,32.0,3052.0,75.0,0.0,0.0,0.0,46977,40
40,286.0,2865.0,4131.0,3180.0,4666.0,37.0,3448.0,87.0,0.0,0.0,0.0,49042,41
41,181.0,2468.0,3845.0,3301.0,4882.0,43.0,3879.0,101.0,0.0,0.0,0.0,50903,42
42,125.0,2105.0,3562.0,3368.0,5020.0,44.0,4360.0,116.0,0.0,0.0,0.0,52592,43
43,75.0,1744.0,3270.0,3441.0,5160.0,53.0,4824.0,133.0,0.0,0.0,0.0,54263,44
44,54.0,1473.0,2948.0,3498.0,5254.0,50.0,5269.0,154.0,0.0,0.0,0.0,55674,45
45,41.0,1194.0,2694.0,3502.0,5285.0,54.0,5760.0,170.0,0.0,0.0,0.0,57052,46
46,28.0,975.0,2421.0,3494.0,5286.0,60.0,6253.0,183.0,0.0,0.0,0.0,58327,47
47,18.0,802.0,2152.0,3448.0,5282.0,56.0,6741.0,201.0,0.0,0.0,0.0,59493,48
48,13.0,670.0,1888.0,3412.0,5230.0,57.0,7213.0,217.0,0.0,0.0,0.0,60541,49
49,8.0,554.0,1691.0,3331.0,5139.0,63.0,7681.0,233.0,0.0,0.0,0.0,61492,50
50,4.0,463.0,1473.0,3284.0,5068.0,57.0,8094.0,257.0,0.0,0.0,0.0,62359,51
51,2.0,358.0,1312.0,3172.0,4990.0,57.0,8539.0,270.0,0.0,0.0,0.0,63208,52
52,2.0,297.0,1128.0,3103.0,4862.0,59.0,8968.0,281.0,0.0,0.0,0.0,63967,53
53,0.0,252.0,984.0,3002.0,4717.0,65.0,9386.0,294.0,0.0,0.0,0.0,64658,54
54,0.0,213.0,844.0,2889.0,4568.0,52.0,9813.0,321.0,0.0,0.0,0.0,65345,55
55,0.0,179.0,720.0,2757.0,4417.0,55.0,10242.0,330.0,0.0,0.0,0.0,65987,56
56,0.0,141.0,624.0,2662.0,4260.0,50.0,10614.0,349.0,0.0,0.0,0.0,66564,57
57,0.0,117.0,528.0,2568.0,4090.0,44.0,10988.0,365.0,0.0,0.0,0.0,67109,58
58,0.0,96.0,444.0,2471.0,3949.0,48.0,11317.0,375.0,0.0,0.0,0.0,67588,59
59,0.0,84.0,364.0,2355.0,3811.0,45.0,11651.0,390.0,0.0,0.0,0.0,68053,60
60,0.0,62.0,318.0,2258.0,3644.0,43.0,11972.0,403.0,0.0,0.0,0.0,68490,61
61,0.0,53.0,279.0,2137.0,3455.0,36.0,12321.0,419.0,0.0,0.0,0.0,68921,62
62,0.0,46.0,228.0,2056.0,3289.0,32.0,12616.0,433.0,0.0,0.0,0.0,69305,63
63,0.0,39.0,200.0,1941.0,3130.0,31.0,12910.0,449.0,0.0,0.0,0.0,69672,64
64,0.0,35.0,170.0,1849.0,2981.0,29.0,13175.0,461.0,0.0,0.0,0.0,69997,65
65,0.0,30.0,141.0,1756.0,2850.0,27.0,13421.0,475.0,0.0,0.0,0.0,70308,66
66,0.0,26.0,116.0,1666.0,2706.0,32.0,13672.0,482.0,0.0,0.0,0.0,70611,67
67,0.0,24.0,92.0,1578.0,2593.0,34.0,13891.0,488.0,0.0,0.0,0.0,70872,68
68,0.0,19.0,76.0,1508.0,2449.0,31.0,14122.0,495.0,0.0,0.0,0.0,71140,69
69,0.0,16.0,65.0,1425.0,2335.0,22.0,14328.0,509.0,0.0,0.0,0.0,71383,70
70,0.0,15.0,51.0,1345.0,2230.0,25.0,14517.0,517.0,0.0,0.0,0.0,71607,71
71,0.0,13.0,42.0,1262.0,2112.0,30.0,14718.0,523.0,0.0,0.0,0.0,71838,72
72,0.0,10.0,36.0,1204.0,2012.0,25.0,14878.0,535.0,0.0,0.0,0.0,72029,73
73,0.0,8.0,26.0,1154.0,1908.0,16.0,15041.0,547.0,0.0,0.0,0.0,72221,74
