,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18696.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
1,18695.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2
2,18694.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3
3,18691.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11,4
4,18688.0,6.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16,5
5,18683.0,10.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,23,6
6,18679.0,12.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,29,7
7,18676.0,15.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,33,8
8,18670.0,17.0,8.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,44,9
9,18661.0,22.0,10.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,59,10
10,18651.0,26.0,15.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,77,11
11,18637.0,32.0,17.0,4.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,105,12
12,18620.0,45.0,17.0,5.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,131,13
13,18594.0,56.0,30.0,6.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,175,14
14,18575.0,65.0,35.0,8.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,211,15
15,18537.0,89.0,45.0,10.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,267,16
16,18494.0,118.0,51.0,13.0,14.0,0.0,10.0,0.0,0.0,0.0,0.0,335,17
17,18424.0,159.0,69.0,17.0,19.0,0.0,12.0,0.0,0.0,0.0,0.0,447,18
18,18345.0,198.0,89.0,20.0,34.0,0.0,14.0,0.0,0.0,0.0,0.0,588,19
19,18231.0,264.0,119.0,24.0,46.0,1.0,15.0,0.0,0.0,0.0,0.0,770,20
