,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18697.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,18696.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2
2,18695.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3
3,18691.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,4
4,18688.0,8.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5
5,18685.0,10.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6
6,18685.0,9.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19,7
7,18682.0,11.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23,8
8,18680.0,11.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,30,9
9,18679.0,11.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,34,10
10,18674.0,12.0,6.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,45,11
11,18668.0,17.0,5.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,54,12
12,18664.0,18.0,7.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,62,13
13,18657.0,24.0,6.0,5.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,72,14
14,18651.0,24.0,9.0,6.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,87,15
15,18640.0,28.0,15.0,6.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,106,16
16,18628.0,35.0,15.0,7.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,130,17
17,18616.0,39.0,21.0,8.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,153,18
18,18606.0,36.0,31.0,9.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,180,19
19,18595.0,39.0,36.0,9.0,14.0,0.0,7.0,0.0,0.0,0.0,0.0,202,20
20,18566.0,57.0,41.0,9.0,19.0,0.0,8.0,0.0,0.0,0.0,0.0,249,21
21,18543.0,72.0,39.0,12.0,25.0,0.0,9.0,0.0,0.0,0.0,0.0,291,22
22,18516.0,87.0,44.0,15.0,27.0,0.0,11.0,0.0,0.0,0.0,0.0,339,23
23,18479.0,111.0,51.0,19.0,27.0,0.0,13.0,0.0,0.0,0.0,0.0,397,24
24,18445.0,127.0,58.0,22.0,33.0,0.0,15.0,0.0,0.0,0.0,0.0,462,25
25,18397.0,155.0,62.0,29.0,41.0,0.0,16.0,0.0,0.0,0.0,0.0,547,26
26,18328.0,190.0,81.0,30.0,51.0,0.0,20.0,0.0,0.0,0.0,0.0,669,27
27,18274.0,207.0,101.0,33.0,59.0,0.0,26.0,0.0,0.0,0.0,0.0,783,28
28,18199.0,247.0,111.0,44.0,64.0,1.0,34.0,0.0,0.0,0.0,0.0,927,29
29,18105.0,280.0,144.0,55.0,75.0,1.0,40.0,0.0,0.0,0.0,0.0,1116,30
