,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18695.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
1,18695.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2
2,18694.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3
3,18693.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11,4
4,18690.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16,5
5,18688.0,5.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,18,6
6,18682.0,11.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,26,7
7,18677.0,13.0,5.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,34,8
8,18670.0,18.0,4.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,46,9
9,18668.0,20.0,4.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,49,10
10,18663.0,20.0,8.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,60,11
11,18659.0,20.0,9.0,5.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,71,12
12,18654.0,25.0,8.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,78,13
13,18651.0,22.0,12.0,6.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,89,14
14,18643.0,27.0,13.0,7.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,102,15
15,18630.0,29.0,21.0,8.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,129,16
16,18607.0,45.0,25.0,10.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,162,17
17,18586.0,57.0,27.0,14.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,199,18
18,18558.0,70.0,35.0,17.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,249,19
19,18531.0,79.0,43.0,19.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,308,20
20,18496.0,95.0,53.0,20.0,25.0,0.0,11.0,0.0,0.0,0.0,0.0,374,21
21,18458.0,108.0,68.0,22.0,32.0,0.0,12.0,0.0,0.0,0.0,0.0,448,22
22,18413.0,130.0,73.0,26.0,41.0,0.0,17.0,0.0,0.0,0.0,0.0,539,23
23,18357.0,156.0,91.0,28.0,49.0,0.0,19.0,0.0,0.0,0.0,0.0,639,24
24,18283.0,187.0,122.0,33.0,53.0,0.0,22.0,0.0,0.0,0.0,0.0,771,25
25,18205.0,232.0,135.0,34.0,65.0,0.0,29.0,0.0,0.0,0.0,0.0,909,26
26,18116.0,266.0,161.0,44.0,81.0,0.0,32.0,0.0,0.0,0.0,0.0,1085,27
