,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18695.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
1,18693.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2
2,18692.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,3
3,18691.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,4
4,18691.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5
5,18689.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,6
6,18688.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16,7
7,18685.0,9.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19,8
8,18682.0,10.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26,9
9,18675.0,14.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,37,10
10,18669.0,17.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,47,11
11,18664.0,21.0,6.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,55,12
12,18651.0,29.0,9.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,75,13
13,18634.0,40.0,13.0,5.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,101,14
14,18615.0,51.0,18.0,6.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,131,15
15,18598.0,59.0,25.0,7.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,160,16
16,18570.0,71.0,37.0,6.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,210,17
17,18518.0,103.0,48.0,7.0,17.0,2.0,5.0,0.0,0.0,0.0,0.0,293,18
18,18468.0,131.0,60.0,10.0,23.0,1.0,6.0,1.0,0.0,0.0,0.0,377,19
19,18411.0,158.0,76.0,15.0,32.0,1.0,6.0,1.0,0.0,0.0,0.0,478,20
20,18309.0,233.0,82.0,23.0,44.0,1.0,7.0,1.0,0.0,0.0,0.0,629,21
21,18192.0,297.0,113.0,31.0,53.0,0.0,12.0,2.0,0.0,0.0,0.0,827,22
22,18065.0,357.0,152.0,37.0,69.0,0.0,17.0,3.0,0.0,0.0,0.0,1056,23
23,17886.0,464.0,192.0,45.0,86.0,2.0,22.0,3.0,0.0,0.0,0.0,1346,24
24,17644.0,590.0,263.0,53.0,115.0,2.0,30.0,3.0,0.0,0.0,0.0,1757,25
25,17332.0,765.0,349.0,71.0,135.0,2.0,42.0,4.0,0.0,0.0,0.0,2271,26
26,16990.0,941.0,435.0,96.0,177.0,2.0,54.0,5.0,0.0,0.0,0.0,2873,27
27,16531.0,1202.0,542.0,124.0,226.0,3.0,67.0,5.0,0.0,0.0,0.0,3635,28
28,15960.0,1527.0,669.0,165.0,286.0,3.0,85.0,5.0,0.0,0.0,0.0,4589,29
29,15259.0,1897.0,842.0,214.0,365.0,2.0,114.0,7.0,0.0,0.0,0.0,5811,30
30,14499.0,2232.0,1086.0,260.0,463.0,2.0,150.0,8.0,0.0,0.0,0.0,7215,31
31,13453.0,2777.0,1338.0,342.0,584.0,5.0,191.0,10.0,0.0,0.0,0.0,9059,32
32,12354.0,3306.0,1609.0,428.0,734.0,7.0,249.0,13.0,0.0,0.0,0.0,11093,33
33,11080.0,3893.0,1949.0,533.0,906.0,7.0,317.0,15.0,0.0,0.0,0.0,13473,34
34,9811.0,4323.0,2368.0,671.0,1099.0,8.0,404.0,16.0,0.0,0.0,0.0,16091,35
35,8389.0,4872.0,2751.0,828.0,1318.0,7.0,515.0,20.0,0.0,0.0,0.0,18995,36
36,7008.0,5258.0,3180.0,1008.0,1559.0,8.0,657.0,22.0,0.0,0.0,0.0,22084,37
37,5723.0,5475.0,3620.0,1189.0,1855.0,14.0,800.0,24.0,0.0,0.0,0.0,25218,38
38,4480.0,5690.0,3861.0,1414.0,2215.0,16.0,996.0,28.0,0.0,0.0,0.0,28484,39
39,3433.0,5690.0,4113.0,1672.0,2530.0,15.0,1212.0,35.0,0.0,0.0,0.0,31602,40
40,2536.0,5502.0,4348.0,1913.0,2863.0,16.0,1479.0,43.0,0.0,0.0,0.0,34718,41
41,1841.0,5121.0,4580.0,2121.0,3191.0,18.0,1775.0,53.0,0.0,0.0,0.0,37651,42
42,1262.0,4694.0,4699.0,2339.0,3547.0,24.0,2074.0,61.0,0.0,0.0,0.0,40444,43
43,850.0,4265.0,4652.0,2572.0,3848.0,27.0,2416.0,70.0,0.0,0.0,0.0,42948,44
44,557.0,3773.0,4530.0,2786.0,4185.0,29.0,2762.0,78.0,0.0,0.0,0.0,45297,45
45,368.0,3271.0,4373.0,2943.0,4459.0,38.0,3157.0,91.0,0.0,0.0,0.0,47456,46
46,244.0,2815.0,4152.0,3091.0,4634.0,37.0,3618.0,109.0,0.0,0.0,0.0,49458,47
47,153.0,2385.0,3885.0,3224.0,4829.0,46.0,4058.0,120.0,0.0,0.0,0.0,51329,48
48,92.0,2055.0,3545.0,3309.0,5011.0,46.0,4509.0,133.0,0.0,0.0,0.0,52990,49
49,57.0,1677.0,3290.0,3393.0,5110.0,42.0,4980.0,151.0,0.0,0.0,0.0,54609,50
50,37.0,1377.0,2988.0,3465.0,5195.0,43.0,5430.0,165.0,0.0,0.0,0.0,56050,51
51,26.0,1155.0,2660.0,3486.0,5244.0,44.0,5907.0,178.0,0.0,0.0,0.0,57359,52
52,21.0,949.0,2385.0,3497.0,5230.0,43.0,6388.0,187.0,0.0,0.0,0.0,58560,53
53,14.0,781.0,2109.0,3463.0,5236.0,48.0,6840.0,209.0,0.0,0.0,0.0,59694,54
54,12.0,637.0,1868.0,3438.0,5197.0,48.0,7279.0,221.0,0.0,0.0,0.0,60693,55
55,8.0,545.0,1614.0,3379.0,5093.0,52.0,7764.0,245.0,0.0,0.0,0.0,61681,56
56,5.0,458.0,1423.0,3260.0,5001.0,58.0,8234.0,261.0,0.0,0.0,0.0,62564,57
57,4.0,382.0,1223.0,3174.0,4887.0,50.0,8697.0,283.0,0.0,0.0,0.0,63419,58
58,3.0,304.0,1081.0,3069.0,4761.0,49.0,9134.0,299.0,0.0,0.0,0.0,64188,59
59,2.0,255.0,954.0,2969.0,4616.0,56.0,9537.0,311.0,0.0,0.0,0.0,64850,60
60,2.0,210.0,829.0,2890.0,4459.0,59.0,9930.0,321.0,0.0,0.0,0.0,65483,61
61,2.0,163.0,709.0,2803.0,4313.0,57.0,10316.0,337.0,0.0,0.0,0.0,66114,62
62,2.0,133.0,610.0,2709.0,4150.0,51.0,10685.0,360.0,0.0,0.0,0.0,66682,63
63,2.0,114.0,533.0,2599.0,3975.0,42.0,11058.0,377.0,0.0,0.0,0.0,67195,64
64,2.0,100.0,456.0,2499.0,3807.0,47.0,11402.0,387.0,0.0,0.0,0.0,67669,65
65,2.0,80.0,394.0,2399.0,3608.0,41.0,11775.0,401.0,0.0,0.0,0.0,68167,66
66,2.0,60.0,342.0,2274.0,3434.0,41.0,12135.0,412.0,0.0,0.0,0.0,68642,67
67,2.0,50.0,288.0,2181.0,3274.0,42.0,12439.0,424.0,0.0,0.0,0.0,69045,68
68,2.0,41.0,248.0,2080.0,3129.0,41.0,12718.0,441.0,0.0,0.0,0.0,69418,69
69,1.0,38.0,208.0,1989.0,2978.0,33.0,12996.0,457.0,0.0,0.0,0.0,69769,70
70,1.0,34.0,172.0,1886.0,2821.0,34.0,13283.0,469.0,0.0,0.0,0.0,70126,71
71,1.0,30.0,147.0,1792.0,2664.0,33.0,13550.0,483.0,0.0,0.0,0.0,70454,72
72,1.0,22.0,136.0,1704.0,2513.0,34.0,13800.0,490.0,0.0,0.0,0.0,70747,73
73,0.0,20.0,121.0,1637.0,2381.0,37.0,14009.0,495.0,0.0,0.0,0.0,70991,74
74,0.0,15.0,108.0,1543.0,2253.0,39.0,14239.0,503.0,0.0,0.0,0.0,71262,75
75,0.0,15.0,93.0,1468.0,2129.0,33.0,14450.0,512.0,0.0,0.0,0.0,71500,76
76,0.0,12.0,80.0,1398.0,2011.0,32.0,14650.0,517.0,0.0,0.0,0.0,71728,77
77,0.0,11.0,62.0,1337.0,1914.0,26.0,14824.0,526.0,0.0,0.0,0.0,71935,78
78,0.0,9.0,51.0,1277.0,1807.0,29.0,14996.0,531.0,0.0,0.0,0.0,72135,79
79,0.0,8.0,47.0,1203.0,1704.0,28.0,15172.0,538.0,0.0,0.0,0.0,72330,80
80,0.0,6.0,43.0,1124.0,1629.0,26.0,15325.0,547.0,0.0,0.0,0.0,72507,81
81,0.0,4.0,39.0,1060.0,1544.0,14.0,15478.0,561.0,0.0,0.0,0.0,72684,82
82,0.0,4.0,33.0,1003.0,1476.0,15.0,15604.0,565.0,0.0,0.0,0.0,72825,83
83,0.0,3.0,33.0,955.0,1384.0,11.0,15741.0,573.0,0.0,0.0,0.0,72976,84
